,Unnamed: 0.1,date,Unnamed: 0,country,week,year,DTotal,mov_avg,years_relative,pred_deaths
0,10501,1990-01-07,10501,FIN,1,1990,1146.0,1146.0,-30,993.7824884792622
1,10533,1990-01-14,10533,FIN,2,1990,1139.0,1142.5,-30,1009.8880184331792
2,10565,1990-01-21,10565,FIN,3,1990,1185.0,1156.6666666666667,-30,1020.1131592421913
3,10597,1990-01-28,10597,FIN,4,1990,1164.0,1158.5,-30,1024.963901689708
4,10629,1990-02-04,10629,FIN,5,1990,1103.0,1147.4,-30,1022.0744086021501
5,10661,1990-02-11,10661,FIN,6,1990,1065.0,1133.6666666666667,-30,1014.7275985663078
6,10693,1990-02-18,10693,FIN,7,1990,988.0,1112.857142857143,-30,1007.6012288786478
7,10725,1990-02-25,10725,FIN,8,1990,964.0,1086.857142857143,-30,999.0854070660517
8,10757,1990-03-04,10757,FIN,9,1990,958.0,1061.0,-30,993.1769585253451
9,10789,1990-03-11,10789,FIN,10,1990,973.0,1030.7142857142858,-30,989.8190476190471
10,10821,1990-03-18,10821,FIN,11,1990,905.0,993.7142857142856,-30,984.423655913978
11,10853,1990-03-25,10853,FIN,12,1990,967.0,974.2857142857144,-30,982.6254992319504
12,10885,1990-04-01,10885,FIN,13,1990,971.0,960.8571428571428,-30,975.5726574500766
13,10917,1990-04-08,10917,FIN,14,1990,914.0,950.2857142857144,-30,962.785867895545
14,10949,1990-04-15,10949,FIN,15,1990,908.0,942.2857142857144,-30,953.9152073732715
15,10981,1990-04-22,10981,FIN,16,1990,924.0,937.4285714285714,-30,941.313056835637
16,11013,1990-04-29,11013,FIN,17,1990,909.0,928.2857142857144,-30,932.1182795698921
17,11045,1990-05-06,11045,FIN,18,1990,934.0,932.4285714285714,-30,924.8374807987708
18,11077,1990-05-13,11077,FIN,19,1990,915.0,925.0,-30,915.9895545314897
19,11109,1990-05-20,11109,FIN,20,1990,910.0,916.2857142857144,-30,909.1164362519198
20,11141,1990-05-27,11141,FIN,21,1990,889.0,912.7142857142856,-30,900.1981566820272
21,11173,1990-06-03,11173,FIN,22,1990,951.0,918.8571428571428,-30,895.6159754224266
22,11205,1990-06-10,11205,FIN,23,1990,966.0,924.8571428571428,-30,898.0061443932407
23,11237,1990-06-17,11237,FIN,24,1990,949.0,930.5714285714286,-30,896.4949308755757
24,11269,1990-06-24,11269,FIN,25,1990,935.0,930.7142857142856,-30,898.4380952380951
25,11301,1990-07-01,11301,FIN,26,1990,1024.0,946.2857142857144,-30,898.8841781874037
26,11333,1990-07-08,11333,FIN,27,1990,941.0,950.7142857142856,-30,901.4500768049152
27,11365,1990-07-15,11365,FIN,28,1990,905.0,953.0,-30,907.3142857142855
28,11397,1990-07-22,11397,FIN,29,1990,889.0,944.1428571428572,-30,901.1815668202761
29,11429,1990-07-29,11429,FIN,30,1990,915.0,936.8571428571428,-30,892.4337941628261
30,11461,1990-08-05,11461,FIN,31,1990,948.0,936.7142857142856,-30,887.1419354838706
31,11493,1990-08-12,11493,FIN,32,1990,858.0,925.7142857142856,-30,878.8138248847921
32,11525,1990-08-19,11525,FIN,33,1990,881.0,905.2857142857144,-30,869.6838709677417
33,11557,1990-08-26,11557,FIN,34,1990,861.0,893.8571428571429,-30,860.2417818740398
